corruption,level,f1_macro
gaussian_noise,0.0,0.985282775148987
gaussian_noise,0.01,0.985282775148987
gaussian_noise,0.05,0.985282775148987
gaussian_noise,0.1,0.9835231798733988
gaussian_noise,0.2,0.985282775148987
gaussian_noise,0.5,0.9836044579258361
sensor_drift,0.0,0.985282775148987
sensor_drift,0.01,0.985282775148987
sensor_drift,0.05,0.985282775148987
sensor_drift,0.1,0.985282775148987
sensor_drift,0.2,0.985282775148987
sensor_drift,0.5,0.9835231798733988
missing_data,0.0,0.985282775148987
missing_data,0.1,0.9273972489889446
missing_data,0.2,0.8366888308610351
missing_data,0.3,0.8675509407322322
missing_data,0.5,0.7345891095584212
